danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,audio_features,7EQGXaVSyEDsCWKmUcfpLk,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/tracks/7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/audio-analysis/7EQGXaVSyEDsCWKmUcfpLk,211920,4
0.703,0.746,0,-5.226,1,0.029,0.123,1.92e-05,0.152,0.736,103.95,audio_features,1QUyotJH8XoTEan8aZdsiV,spotify:track:1QUyotJH8XoTEan8aZdsiV,https://api.spotify.com/v1/tracks/1QUyotJH8XoTEan8aZdsiV,https://api.spotify.com/v1/audio-analysis/1QUyotJH8XoTEan8aZdsiV,175459,4
0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,audio_features,2Z8WuEywRWYTKe1NybPQEW,spotify:track:2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,214507,4
0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,audio_features,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4
0.731,0.807,2,-5.185,1,0.0427,0.00475,0.00328,0.127,0.625,123.052,audio_features,7HdXRMw14roDx2a0COWk3M,spotify:track:7HdXRMw14roDx2a0COWk3M,https://api.spotify.com/v1/tracks/7HdXRMw14roDx2a0COWk3M,https://api.spotify.com/v1/audio-analysis/7HdXRMw14roDx2a0COWk3M,206701,4
0.649,0.736,6,-5.84,0,0.23,0.0528,0.0,0.235,0.612,159.182,audio_features,44ONERBHALxftQNWq6dmyd,spotify:track:44ONERBHALxftQNWq6dmyd,https://api.spotify.com/v1/tracks/44ONERBHALxftQNWq6dmyd,https://api.spotify.com/v1/audio-analysis/44ONERBHALxftQNWq6dmyd,226160,4
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4
0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,6D8y7Bck8h11byRY88Pt2z,spotify:track:6D8y7Bck8h11byRY88Pt2z,https://api.spotify.com/v1/tracks/6D8y7Bck8h11byRY88Pt2z,https://api.spotify.com/v1/audio-analysis/6D8y7Bck8h11byRY88Pt2z,185918,4
0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,audio_features,5YqEzk3C5c3UZ1D5fJUlXA,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,https://api.spotify.com/v1/tracks/5YqEzk3C5c3UZ1D5fJUlXA,https://api.spotify.com/v1/audio-analysis/5YqEzk3C5c3UZ1D5fJUlXA,163026,4
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,audio_features,0laYHRpNTS6i8FXdupHkJ4,spotify:track:0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/tracks/0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/audio-analysis/0laYHRpNTS6i8FXdupHkJ4,188453,4
0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,audio_features,4v0hWD4N6qefyFrmSGLjTV,spotify:track:4v0hWD4N6qefyFrmSGLjTV,https://api.spotify.com/v1/tracks/4v0hWD4N6qefyFrmSGLjTV,https://api.spotify.com/v1/audio-analysis/4v0hWD4N6qefyFrmSGLjTV,210840,4
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4
0.748,0.939,0,-4.288,0,0.0341,0.0534,0.0,0.32,0.96,104.001,audio_features,1DSJNBNhGZCigg9ll5VeZv,spotify:track:1DSJNBNhGZCigg9ll5VeZv,https://api.spotify.com/v1/tracks/1DSJNBNhGZCigg9ll5VeZv,https://api.spotify.com/v1/audio-analysis/1DSJNBNhGZCigg9ll5VeZv,198067,4
0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,3E7dfMvvCLUddWissuqMwr,spotify:track:3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr,202067,4
0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,audio_features,6I9VzXrHxO9rA9A5euc8Ak,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4
0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,audio_features,4lhqb6JvbHId48OUJGwymk,spotify:track:4lhqb6JvbHId48OUJGwymk,https://api.spotify.com/v1/tracks/4lhqb6JvbHId48OUJGwymk,https://api.spotify.com/v1/audio-analysis/4lhqb6JvbHId48OUJGwymk,255093,4
0.463,0.604,7,-7.059,1,0.0516,0.0783,3.78e-06,0.0789,0.0905,76.782,audio_features,1R6PEmCHXBBaM14UUUg3Pz,spotify:track:1R6PEmCHXBBaM14UUUg3Pz,https://api.spotify.com/v1/tracks/1R6PEmCHXBBaM14UUUg3Pz,https://api.spotify.com/v1/audio-analysis/1R6PEmCHXBBaM14UUUg3Pz,243648,4
0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,audio_features,5mHdCZtVyb4DcJw8799hZp,spotify:track:5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/tracks/5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/audio-analysis/5mHdCZtVyb4DcJw8799hZp,272373,4
